soc,name,min_rank,target_rank,job_zone,edu_src,diff
29-1022.00,Dokter Gigi Spesialis Bedah Mulut dan Maksilofasial,7,8,5,onet_education,1
29-1021.00,Dokter Gigi,7,8,5,onet_education,1
29-1011.00,Chiropractor,7,8,5,onet_education,1
29-2092.00,Spesialis Alat Bantu Dengar,5,6,3,onet_education,1
25-1193.00,Dosen Ilmu Keolahragaan,7,8,5,onet_education,1
29-1229.01,Dokter Spesialis Alergi Imunologi,7,8,5,onet_education,1
15-1242.00,Database Administrator,5,6,4,onet_education,1
17-2061.00,IoT Engineer,5,6,4,onet_education,1
25-1126.00,Dosen Filsafat dan Agama,7,8,5,onet_education,1
25-1125.00,Dosen Sejarah,7,8,5,onet_education,1
25-1124.00,Dosen Bahasa Asing,7,8,5,onet_education,1
29-1241.00,Dokter Spesialis Mata,7,8,5,onet_education,1
15-1212.00,Cybersecurity Analyst,5,6,4,onet_education,1
29-1229.03,Dokter Spesialis Urologi,7,8,5,onet_education,1
15-1255.00,UI/UX Designer,5,6,4,job_zone,1
29-1229.04,Dokter Spesialis Kedokteran Fisik dan Rehabilitasi,7,8,5,onet_education,1
25-1042.00,Dosen Biologi,7,8,5,onet_education,1
25-1041.00,Dosen Ilmu Pertanian,7,8,5,onet_education,1
25-1032.00,Dosen Teknik,7,8,5,onet_education,1
29-1214.00,Dokter Spesialis Kedokteran Gawat Darurat,7,8,5,onet_education,1
29-1213.00,Dokter Spesialis Kulit dan Kelamin,7,8,5,onet_education,1
25-3021.00,Guru Kursus,5,6,3,onet_education,1
15-1255.01,Game Developer,5,6,4,onet_education,1
25-1043.00,Dosen Kehutanan,7,8,5,onet_education,1
29-1211.00,Dokter Spesialis Anestesi,7,8,5,onet_education,1
29-1181.00,Audiolog,7,8,5,onet_education,1
29-1151.00,Penata Anestesi,7,8,5,onet_education,1
25-1066.00,Dosen Psikologi,7,8,5,onet_education,1
25-1065.00,Dosen Ilmu Politik,7,8,5,onet_education,1
25-1011.00,Dosen Bisnis dan Manajemen,7,8,5,onet_education,1
25-1052.00,Dosen Kimia,7,8,5,onet_education,1
29-1131.00,Dokter Hewan,7,8,5,onet_education,1
29-1216.00,Dokter Spesialis Penyakit Dalam,7,8,5,onet_education,1
29-1229.05,Dokter Spesialis Kedokteran Komunitas,7,8,5,onet_education,1
25-1067.00,Dosen Sosiologi,7,8,5,onet_education,1
29-1229.06,Dokter Spesialis Kedokteran Olahraga,7,8,5,onet_education,1
25-1081.00,Dosen Pendidikan,7,8,5,onet_education,1
25-1082.00,Dosen Ilmu Perpustakaan,7,8,5,onet_education,1
29-1215.00,Dokter Umum,7,8,5,onet_education,1
25-1113.00,Dosen Ilmu Kesejahteraan Sosial,7,8,5,onet_education,1
29-1041.00,Optometris,7,8,5,onet_education,1
25-1064.00,Dosen Geografi,7,8,5,onet_education,1
27-1022.00,Desainer Fashion,5,6,3,onet_education,1
25-1063.00,Dosen Ilmu Ekonomi,7,8,5,onet_education,1
25-1062.00,Dosen Kajian Wilayah dan Budaya,7,8,5,onet_education,1
25-1061.00,Dosen Antropologi,7,8,5,onet_education,1
25-1054.00,Dosen Fisika,7,8,5,onet_education,1
25-1053.00,Dosen Ilmu Lingkungan,7,8,5,onet_education,1
31-1133.00,Pekarya Kesehatan Jiwa,2,5,2,onet_education,3
43-5011.00,Staff Cargo,2,5,2,onet_education,3
15-1232.00,IT Support / Helpdesk,2,6,3,onet_education,4
43-5011.01,Staff Freight Forwarding,2,6,2,onet_education,4
