soc_code,onet_title,name_id,name_alt,relevance,note,sectors,job_zone,riasec_top,description
25-1021.00,"Computer Science Teachers, Postsecondary",Dosen Ilmu Komputer,Dosen Informatika;Dosen Teknik Informatika,umum,,Pendidikan,5,S,"Teach courses in computer science. May specialize in a field of computer science, such as the design and function of computers or operations and research analysis. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research."
25-1022.00,"Mathematical Science Teachers, Postsecondary",Dosen Matematika,Dosen Statistika;Dosen Aktuaria,umum,,Pendidikan,5,S,"Teach courses pertaining to mathematical concepts, statistics, and actuarial science and to the application of original and standardized mathematical techniques in solving specific problems and situations. Includes both teachers primarily engaged in teaching and those who do a combination of teachin"
25-1031.00,"Architecture Teachers, Postsecondary",Dosen Arsitektur,Dosen Arsitektur Lanskap,umum,,Pendidikan,5,S,"Teach courses in architecture and architectural design, such as architectural environmental design, interior architecture/design, and landscape architecture. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research."
25-1032.00,"Engineering Teachers, Postsecondary",Dosen Teknik,Dosen Teknik Sipil;Dosen Teknik Mesin;Dosen Teknik Elektro,umum,,Pendidikan,5,S,"Teach courses pertaining to the application of physical laws and principles of engineering for the development of machines, materials, instruments, processes, and services. Includes teachers of subjects such as chemical, civil, electrical, industrial, mechanical, mineral, and petroleum engineering. "
25-1041.00,"Agricultural Sciences Teachers, Postsecondary",Dosen Ilmu Pertanian,Dosen Agronomi;Dosen Peternakan,umum,,Pendidikan,5,S,"Teach courses in the agricultural sciences. Includes teachers of agronomy, dairy sciences, fisheries management, horticultural sciences, poultry sciences, range management, and agricultural soil conservation. Includes both teachers primarily engaged in teaching and those who do a combination of teac"
25-1042.00,"Biological Science Teachers, Postsecondary",Dosen Biologi,Dosen Ilmu Hayati,umum,,Pendidikan,5,S,Teach courses in biological sciences. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.
25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary",Dosen Kehutanan,Dosen Konservasi Sumber Daya Hutan,umum,,Pendidikan,5,S,Teach courses in forestry and conservation science. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.
25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",Dosen Ilmu Kebumian dan Kelautan,Dosen Geofisika;Dosen Meteorologi;Dosen Oseanografi,umum,"Di Indonesia bidang ini biasanya terpisah per jurusan (Geofisika, Meteorologi, Oseanografi), bukan satu gelar gabungan seperti di AS",Pendidikan,5,S,"Teach courses in the physical sciences, except chemistry and physics. Includes both teachers primarily engaged in teaching, and those who do a combination of teaching and research."
25-1052.00,"Chemistry Teachers, Postsecondary",Dosen Kimia,,umum,,Pendidikan,5,I,"Teach courses pertaining to the chemical and physical properties and compositional changes of substances. Work may include providing instruction in the methods of qualitative and quantitative chemical analysis. Includes both teachers primarily engaged in teaching, and those who do a combination of t"
25-1053.00,"Environmental Science Teachers, Postsecondary",Dosen Ilmu Lingkungan,,umum,,Pendidikan,5,I,Teach courses in environmental science. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.
25-1054.00,"Physics Teachers, Postsecondary",Dosen Fisika,,umum,,Pendidikan,5,S,Teach courses pertaining to the laws of matter and energy. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.
25-1061.00,"Anthropology and Archeology Teachers, Postsecondary",Dosen Antropologi,Dosen Arkeologi,umum,Di Indonesia umumnya jurusan terpisah antara Antropologi dan Arkeologi,Pendidikan,5,S,Teach courses in anthropology or archeology. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.
25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",Dosen Kajian Wilayah dan Budaya,Dosen Studi Kawasan;Dosen Kajian Budaya,terbatas,"Program studi kajian wilayah/etnis spesifik masih jarang, hanya ada di sejumlah universitas riset (mis. kajian Timur Tengah, Amerika, Asia Tenggara)",Pendidikan,5,S,"Teach courses pertaining to the culture and development of an area, an ethnic group, or any other group, such as Latin American studies, women's studies, or urban affairs. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research."
25-1063.00,"Economics Teachers, Postsecondary",Dosen Ilmu Ekonomi,,umum,,Pendidikan,5,S,Teach courses in economics. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.
25-1064.00,"Geography Teachers, Postsecondary",Dosen Geografi,,umum,,Pendidikan,5,S,Teach courses in geography. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.
25-1065.00,"Political Science Teachers, Postsecondary",Dosen Ilmu Politik,Dosen Hubungan Internasional,umum,,Pendidikan,5,S,"Teach courses in political science, international affairs, and international relations. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research."
25-1066.00,"Psychology Teachers, Postsecondary",Dosen Psikologi,,umum,,Pendidikan,5,S,"Teach courses in psychology, such as child, clinical, and developmental psychology, and psychological counseling. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research."
25-1067.00,"Sociology Teachers, Postsecondary",Dosen Sosiologi,,umum,,Pendidikan,5,S,Teach courses in sociology. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.
25-1069.00,"Social Sciences Teachers, Postsecondary, All Other",Dosen Ilmu Sosial Lainnya,,umum,Kategori sisa (catch-all) O*NET untuk dosen ilmu sosial yang tidak masuk kategori spesifik lain,Pendidikan,,,All postsecondary social sciences teachers not listed separately.
25-1071.00,"Health Specialties Teachers, Postsecondary",Dosen Ilmu Kesehatan,Dosen Kedokteran;Dosen Farmasi;Dosen Kedokteran Hewan,umum,,Pendidikan,5,S,"Teach courses in health specialties, in fields such as dentistry, laboratory technology, medicine, pharmacy, public health, therapy, and veterinary medicine."
25-1072.00,"Nursing Instructors and Teachers, Postsecondary",Dosen Keperawatan,,umum,,Pendidikan,5,S,Demonstrate and teach patient care in classroom and clinical units to nursing students. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.
25-1081.00,"Education Teachers, Postsecondary",Dosen Pendidikan,Dosen Keguruan;Dosen FKIP,umum,,Pendidikan,5,S,"Teach courses pertaining to education, such as counseling, curriculum, guidance, instruction, teacher education, and teaching English as a second language. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research."
25-1082.00,"Library Science Teachers, Postsecondary",Dosen Ilmu Perpustakaan,Dosen Ilmu Informasi,terbatas,"Program studi Ilmu Perpustakaan ada dan diakui, tetapi hanya diselenggarakan di segelintir universitas (mis. UI, Undip, UIN)",Pendidikan,5,S,Teach courses in library science. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.
25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary",Dosen Hukum Pidana dan Kepolisian,Dosen Ilmu Kepolisian;Dosen Kriminologi,terbatas,Tidak ada jurusan umum setara 'criminal justice' seperti di AS; materi ini biasanya bagian dari Ilmu Hukum (pidana) atau diajarkan di institusi khusus seperti PTIK/Akpol,Pendidikan,5,S,"Teach courses in criminal justice, corrections, and law enforcement administration. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research."
25-1112.00,"Law Teachers, Postsecondary",Dosen Hukum,,umum,,Pendidikan,5,S,Teach courses in law. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.
25-1113.00,"Social Work Teachers, Postsecondary",Dosen Ilmu Kesejahteraan Sosial,Dosen Pekerjaan Sosial,umum,,Pendidikan,5,S,Teach courses in social work. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.
25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",Dosen Seni,Dosen Seni Rupa;Dosen Teater;Dosen Musik,umum,,Pendidikan,5,S,"Teach courses in drama, music, and the arts including fine and applied art, such as painting and sculpture, or design and crafts. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research."
25-1122.00,"Communications Teachers, Postsecondary",Dosen Ilmu Komunikasi,,umum,,Pendidikan,5,S,"Teach courses in communications, such as organizational communications, public relations, radio/television broadcasting, and journalism. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research."
25-1123.00,"English Language and Literature Teachers, Postsecondary",Dosen Sastra dan Pendidikan Bahasa Inggris,Dosen Sastra Inggris,umum,,Pendidikan,5,S,"Teach courses in English language and literature, including linguistics and comparative literature. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research."
25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",Dosen Bahasa Asing,Dosen Sastra Jepang;Dosen Sastra Mandarin;Dosen Sastra Prancis,umum,,Pendidikan,5,S,Teach languages and literature courses in languages other than English. Includes teachers of American Sign Language (ASL). Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.
25-1125.00,"History Teachers, Postsecondary",Dosen Sejarah,,umum,,Pendidikan,5,S,Teach courses in human history and historiography. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.
25-1126.00,"Philosophy and Religion Teachers, Postsecondary",Dosen Filsafat dan Agama,Dosen Filsafat;Dosen Ilmu Agama,umum,,Pendidikan,5,S,"Teach courses in philosophy, religion, and theology. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research."
25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary",Dosen Tata Boga dan Kesejahteraan Keluarga,Dosen Pendidikan Kesejahteraan Keluarga (PKK);Dosen Tata Busana,terbatas,"Tidak ada gelar tunggal setara 'family and consumer sciences'; padanan terdekat adalah prodi PKK/Tata Boga/Tata Busana di universitas pendidikan (mis. UPI, UNJ)",Pendidikan,5,S,"Teach courses in childcare, family relations, finance, nutrition, and related subjects pertaining to home management. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research."
25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary",Dosen Ilmu Keolahragaan,Dosen Pendidikan Jasmani dan Rekreasi,umum,,Pendidikan,5,S,"Teach courses pertaining to recreation, leisure, and fitness studies, including exercise physiology and facilities management. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research."
25-1194.00,"Career/Technical Education Teachers, Postsecondary",Instruktur Pendidikan Vokasi,Instruktur BLK;Instruktur LKP;Guru SMK Dewasa,terbatas,perlu verifikasi - konsep 'postsecondary non-degree vocational' di AS tidak persis sama; padanan terdekat instruktur Balai Latihan Kerja (BLK)/Lembaga Kursus dan Pelatihan (LKP) atau dosen politeknik vokasi,Pendidikan,3,S,"Teach vocational courses intended to provide occupational training below the baccalaureate level in subjects such as construction, mechanics/repair, manufacturing, transportation, or cosmetology, primarily to students who have graduated from or left high school. Teaching takes place in public or pri"
25-1199.00,"Postsecondary Teachers, All Other",Dosen Lainnya,,umum,Kategori sisa (catch-all) O*NET untuk dosen yang tidak masuk kategori spesifik lain,Pendidikan,,,All postsecondary teachers not listed separately.
25-2011.00,"Preschool Teachers, Except Special Education",Guru PAUD,Guru Kelompok Bermain;Guru Prasekolah,umum,"Preschool AS (sebelum kindergarten) paling dekat dengan PAUD/Kelompok Bermain di Indonesia, bukan TK - lihat entri terpisah untuk Guru TK",Pendidikan,3,S,"Instruct preschool-aged students, following curricula or lesson plans, in activities designed to promote social, physical, and intellectual growth."
25-2012.00,"Kindergarten Teachers, Except Special Education",Guru TK,Guru Taman Kanak-Kanak,umum,,Pendidikan,4,S,Teach academic and social skills to kindergarten students.
25-2021.00,"Elementary School Teachers, Except Special Education",Guru SD,Guru Sekolah Dasar,umum,,Pendidikan,4,S,Teach academic and social skills to students at the elementary school level.
25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education",Guru SMP,Guru Sekolah Menengah Pertama,umum,,Pendidikan,4,S,"Teach one or more subjects to students at the middle, intermediate, or junior high school level."
25-2023.00,"Career/Technical Education Teachers, Middle School",Guru Prakarya/Keterampilan SMP,Guru Keterampilan Vokasi SMP,terbatas,"SMP di Indonesia tidak memiliki jalur vokasi terpisah seperti SMK; padanan terdekat adalah mapel Prakarya/Keterampilan, bukan jabatan guru tersendiri",Pendidikan,4,S,"Teach occupational, vocational, career, or technical subjects to students at the middle, intermediate, or junior high school level."
25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education",Guru SMA,Guru Sekolah Menengah Atas,umum,,Pendidikan,4,S,Teach one or more subjects to students at the secondary school level.
25-2032.00,"Career/Technical Education Teachers, Secondary School",Guru SMK,Guru Sekolah Menengah Kejuruan,umum,,Pendidikan,4,S,"Teach occupational, vocational, career, or technical subjects to students at the secondary school level."
25-2051.00,"Special Education Teachers, Preschool",Guru PAUD Pendidikan Khusus,Guru SLB Prasekolah,terbatas,Layanan pendidikan khusus terstruktur untuk usia prasekolah masih jarang tersedia di Indonesia,Pendidikan,5,S,"Teach academic, social, and life skills to preschool-aged students with learning, emotional, or physical disabilities. Includes teachers who specialize and work with students who are blind or have visual impairments; students who are deaf or have hearing impairments; and students with intellectual d"
25-2055.00,"Special Education Teachers, Kindergarten",Guru TK Pendidikan Khusus,Guru SLB Tingkat TK,terbatas,perlu verifikasi - layanan pendidikan khusus jenjang TK belum umum sebagai jabatan tersendiri,Pendidikan,4,S,"Teach academic, social, and life skills to kindergarten students with learning, emotional, or physical disabilities. Includes teachers who specialize and work with students who are blind or have visual impairments; students who are deaf or have hearing impairments; and students with intellectual dis"
25-2056.00,"Special Education Teachers, Elementary School",Guru SD Pendidikan Khusus,Guru SLB Tingkat SD,umum,,Pendidikan,4,S,"Teach academic, social, and life skills to elementary school students with learning, emotional, or physical disabilities. Includes teachers who specialize and work with students who are blind or have visual impairments; students who are deaf or have hearing impairments; and students with intellectua"
25-2057.00,"Special Education Teachers, Middle School",Guru SMP Pendidikan Khusus,Guru SLB Tingkat SMP,umum,,Pendidikan,4,S,"Teach academic, social, and life skills to middle school students with learning, emotional, or physical disabilities. Includes teachers who specialize and work with students who are blind or have visual impairments; students who are deaf or have hearing impairments; and students with intellectual di"
25-2058.00,"Special Education Teachers, Secondary School",Guru SMA Pendidikan Khusus,Guru SLB Tingkat SMA,umum,,Pendidikan,4,S,"Teach academic, social, and life skills to secondary school students with learning, emotional, or physical disabilities. Includes teachers who specialize and work with students who are blind or have visual impairments; students who are deaf or have hearing impairments; and students with intellectual"
25-2059.00,"Special Education Teachers, All Other",Guru Pendidikan Khusus Lainnya,Guru SLB Lainnya,umum,Kategori sisa (catch-all) O*NET untuk guru pendidikan khusus yang tidak masuk kategori jenjang spesifik,Pendidikan,,,All special education teachers not listed separately.
25-2059.01,Adapted Physical Education Specialists,Guru Pendidikan Jasmani Adaptif,Guru PJOK untuk Anak Berkebutuhan Khusus,terbatas,"perlu verifikasi - peran spesialis ini belum umum sebagai jabatan berdiri sendiri di Indonesia, biasanya dirangkap oleh guru PJOK atau guru SLB",Pendidikan,5,S,"Provide individualized physical education instruction or services to children, youth, or adults with exceptional physical needs due to gross motor developmental delays or other impairments."
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",Guru Pendidikan Kesetaraan,Instruktur Keaksaraan Fungsional;Tutor Kejar Paket A/B/C,umum,Komponen 'ESL' di AS (bahasa Inggris untuk imigran dewasa) tidak punya padanan langsung di Indonesia; yang relevan di sini adalah pendidikan kesetaraan dan keaksaraan fungsional untuk orang dewasa,Pendidikan,4,S,"Teach or instruct out-of-school youths and adults in basic education, literacy, or English as a Second Language classes, or in classes for earning a high school equivalency credential."
25-3021.00,Self-Enrichment Teachers,Guru Kursus,Instruktur Les Non-Formal;Guru Ekstrakurikuler,umum,,Pendidikan,3,S,"Teach or instruct individuals or groups for the primary purpose of self-enrichment or recreation, rather than for an occupational objective, educational attainment, competition, or fitness."
25-3031.00,"Substitute Teachers, Short-Term",Guru Pengganti,Guru Piket Pengganti,umum,,Pendidikan,4,S,"Teach students on a short-term basis as a temporary replacement for a regular classroom teacher, typically using the regular teacher's lesson plan."
25-3041.00,Tutors,Guru Les Privat,Tutor,umum,,Pendidikan,3,S,Instruct individual students or small groups of students in academic subjects to support formal class instruction or to prepare students for standardized or admissions tests.
25-3099.00,"Teachers and Instructors, All Other",Guru/Instruktur Lainnya,,umum,Kategori sisa (catch-all) O*NET untuk guru/instruktur yang tidak masuk kategori spesifik lain,Pendidikan,,,All teachers and instructors not listed separately.
25-4011.00,Archivists,Arsiparis,,umum,,Pendidikan,5,C,"Appraise, edit, and direct safekeeping of permanent records and historically valuable documents. Participate in research activities based on archival materials."
25-4012.00,Curators,Kurator,Kurator Museum;Kurator Galeri Seni,terbatas,"Istilah dan profesinya dikenal, tetapi jumlah posisi sangat terbatas di Indonesia (museum dan galeri seni besar)",Pendidikan,5,C,"Administer collections, such as artwork, collectibles, historic items, or scientific specimens of museums or other institutions. May conduct instructional, research, or public service activities of institution."
25-4013.00,Museum Technicians and Conservators,Konservator Museum,Teknisi Museum,terbatas,Posisi sangat sedikit dan terkonsentrasi di museum-museum besar (mis. Museum Nasional),Pendidikan,4,R,"Restore, maintain, or prepare objects in museum collections for storage, research, or exhibit. May work with specimens such as fossils, skeletal parts, or botanicals; or artifacts, textiles, or art. May identify and record objects or install and arrange them in exhibits. Includes book or document co"
25-4022.00,Librarians and Media Collections Specialists,Pustakawan,,umum,,Pendidikan,5,C,"Administer and maintain libraries or collections of information, for public or private access through reference or borrowing. Work in a variety of settings, such as educational institutions, museums, and corporations, and with various types of informational materials, such as books, periodicals, rec"
25-4031.00,Library Technicians,Pustakawan Tingkat Terampil,Teknisi Perpustakaan;Asisten Pustakawan,umum,"Sesuai jabatan fungsional 'Pustakawan Tingkat Terampil' di Indonesia, berbeda dari 'Pustakawan Ahli' (setara Librarians)",Pendidikan,3,C,"Assist librarians by helping readers in the use of library catalogs, databases, and indexes to locate books and other materials; and by answering questions that require only brief consultation of standard reference. Compile records; sort and shelve books or other media; remove or repair damaged book"
25-9021.00,Farm and Home Management Educators,Penyuluh Pertanian,Penyuluh Pertanian dan Keluarga;Penyuluh Lapangan,umum,Padanan terdekat jabatan fungsional Penyuluh Pertanian (Kementerian Pertanian); komponen 'home management' mirip peran penyuluh keluarga/PKK,Pendidikan,5,S,"Instruct and advise individuals and families engaged in agriculture, agricultural-related processes, or home management activities. Demonstrate procedures and apply research findings to advance agricultural and home management activities. May develop educational outreach programs. May instruct on ei"
25-9031.00,Instructional Coordinators,Pengembang Kurikulum,Koordinator Kurikulum;Widyaiswara,terbatas,"perlu verifikasi - di Indonesia peran ini biasanya melekat pada Wakasek Kurikulum, Pengawas Sekolah, atau Widyaiswara, bukan jabatan berdiri sendiri seperti di AS",Pendidikan,5,S,"Develop instructional material, coordinate educational content, and incorporate current technology into instruction in order to provide guidelines to educators and instructors for developing curricula and conducting courses. May train and coach teachers. Includes educational consultants and speciali"
25-9042.00,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",Asisten Guru,Guru Pendamping,terbatas,Peran ini lebih umum di sekolah swasta/internasional; jarang menjadi jabatan formal tersendiri di sekolah negeri Indonesia,Pendidikan,3,S,"Assist a preschool, elementary, middle, or secondary school teacher with instructional duties. Serve in a position for which a teacher has primary responsibility for the design and implementation of educational programs and services."
25-9043.00,"Teaching Assistants, Special Education",Guru Pendamping Khusus (GPK),Asisten Guru Pendidikan Khusus,umum,Dikenal luas dengan istilah GPK dalam program pendidikan inklusif di Indonesia,Pendidikan,3,S,"Assist a preschool, elementary, middle, or secondary school teacher to provide academic, social, or life skills to students who have learning, emotional, or physical disabilities. Serve in a position for which a teacher has primary responsibility for the design and implementation of educational prog"
25-9044.00,"Teaching Assistants, Postsecondary",Asisten Dosen,Asisten Praktikum;Asisten Laboratorium,umum,,Pendidikan,5,S,"Assist faculty or other instructional staff in postsecondary institutions by performing instructional support activities, such as developing teaching materials, leading discussion groups, preparing and giving examinations, and grading examinations or papers."
25-9049.00,"Teaching Assistants, All Other",Asisten Pengajar Lainnya,,umum,Kategori sisa (catch-all) O*NET untuk asisten pengajar yang tidak masuk kategori spesifik lain,Pendidikan,,,All teaching assistants not listed separately.
25-9099.00,"Educational Instruction and Library Workers, All Other",Tenaga Kependidikan dan Perpustakaan Lainnya,,umum,Kategori sisa (catch-all) O*NET untuk pekerja bidang pendidikan/perpustakaan yang tidak masuk kategori spesifik lain,Pendidikan,,,All educational instruction and library workers not listed separately.
27-1011.00,Art Directors,Art Director,Direktur Artistik;Direktur Kreatif,umum,,Kreatif & Media Digital,4,A,"Formulate design concepts and presentation approaches for visual productions and media, such as print, broadcasting, video, and film. Direct workers engaged in artwork or layout design."
27-1012.00,Craft Artists,Perajin/Seniman Kriya,Pengrajin;Craft Artist,umum,"Umum dalam bentuk UMKM/industri kerajinan (tenun, keramik, anyaman), bukan selalu gelar profesi formal.",Kreatif & Media Digital,3,A,"Create or reproduce handmade objects for sale and exhibition using a variety of techniques, such as welding, weaving, pottery, and needlecraft."
27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",Seniman Rupa (Pelukis/Pematung/Ilustrator),Fine Artist;Pelukis;Pematung;Ilustrator,terbatas,"Umumnya berkarier independen/freelance, bukan posisi lowongan formal - lebih sering di komunitas seni atau galeri.",Kreatif & Media Digital,3,A,Create original artwork using any of a wide variety of media and techniques.
27-1014.00,Special Effects Artists and Animators,Animator / VFX Artist,3D Animator;Special Effects Artist;Visual Effects Artist,umum,O*NET menggabungkan animator dan VFX artist; di industri Indonesia keduanya sering dipisah sebagai peran berbeda.,Kreatif & Media Digital,4,A,"Create special effects or animations using film, video, computers, or other electronic tools and media for use in products, such as computer games, movies, music videos, and commercials."
27-1019.00,"Artists and Related Workers, All Other",Seniman dan Pekerja Seni Lainnya,,terbatas,Kategori sisa (catch-all) O*NET untuk seniman yang tidak masuk kode lain; tidak ada padanan spesifik di industri.,Kreatif & Media Digital,,,All artists and related workers not listed separately.
27-1021.00,Commercial and Industrial Designers,Desainer Produk (Industrial Designer),Product Designer;Desainer Industri,terbatas,"Ada di industri manufaktur/startup hardware, tapi jauh lebih kecil dibanding desain grafis/UI di Indonesia.",Kreatif & Media Digital,4,A,"Design and develop manufactured products, such as cars, home appliances, and children's toys. Combine artistic talent with research on product use, marketing, and materials to create the most functional and appealing product design."
27-1022.00,Fashion Designers,Desainer Fashion,Fashion Designer;Perancang Busana/Mode,umum,,Kreatif & Media Digital,3,A,Design clothing and accessories. Create original designs or adapt fashion trends.
27-1023.00,Floral Designers,Perangkai Bunga (Florist),Florist;Dekorator Bunga,terbatas,"Niche, umumnya terkait bisnis toko bunga/dekorasi acara (wedding/event).",Kreatif & Media Digital,2,R,"Design, cut, and arrange live, dried, or artificial flowers and foliage."
27-1024.00,Graphic Designers,Graphic Designer,Desainer Grafis,umum,,Kreatif & Media Digital,4,A,"Design or create graphics to meet specific commercial or promotional needs, such as packaging, displays, or logos. May use a variety of mediums to achieve artistic or decorative effects."
27-1025.00,Interior Designers,Interior Designer,Desainer Interior,umum,,Kreatif & Media Digital,4,A,"Plan, design, and furnish the internal space of rooms or buildings. Design interior environments or create physical layouts that are practical, aesthetic, and conducive to the intended purposes. May specialize in a particular field, style, or phase of interior design."
27-1026.00,Merchandise Displayers and Window Trimmers,Penata Etalase / Visual Merchandiser,Visual Merchandiser;Penata Display Toko,terbatas,"Niche, biasanya bagian dari tim visual merchandising ritel/mal, jarang jadi jabatan berdiri sendiri.",Kreatif & Media Digital,3,A,"Plan and erect commercial displays, such as those in windows and interiors of retail stores and at trade exhibitions."
27-1027.00,Set and Exhibit Designers,Desainer Set dan Panggung,Set Designer;Desainer Pameran,terbatas,"Ada di industri film/TV/teater/pameran, tapi sering merangkap peran art director/production designer.",Kreatif & Media Digital,5,A,"Design special exhibits and sets for film, video, television, and theater productions. May study scripts, confer with directors, and conduct research to determine appropriate architectural styles."
27-1029.00,"Designers, All Other",Desainer Lainnya,,terbatas,Kategori sisa (catch-all) O*NET; tidak ada padanan spesifik.,Kreatif & Media Digital,,,All designers not listed separately.
27-2012.00,Producers and Directors,Produser dan Sutradara,Producer;Director,umum,,Kreatif & Media Digital,4,A,"Produce or direct stage, television, radio, video, or film productions for entertainment, information, or instruction. Responsible for creative decisions, such as interpretation of script, choice of actors or guests, set design, sound, special effects, and choreography."
27-2012.03,Media Programming Directors,Direktur Program Media (TV/Radio),Programming Director,terbatas,"Jabatan manajerial spesifik di stasiun TV/radio, jumlah posisi terbatas.",Kreatif & Media Digital,4,E,"Direct and coordinate activities of personnel engaged in preparation of radio or television station program schedules and programs, such as sports or news."
27-2012.04,Talent Directors,Talent Director / Casting Director,Casting Director,terbatas,Peran casting ada di industri film/TV/iklan Indonesia tapi jumlah posisi sedikit; perlu verifikasi istilah baku.,Kreatif & Media Digital,4,E,"Audition and interview performers to select most appropriate talent for parts in stage, television, radio, or motion picture productions."
27-2012.05,Media Technical Directors/Managers,Technical Director / Manajer Teknis Siaran,Media Technical Manager,terbatas,"Niche, ada di stasiun TV/radio atau rumah produksi besar.",Kreatif & Media Digital,4,E,"Coordinate activities of technical departments, such as taping, editing, engineering, and maintenance, to produce radio or television programs."
27-2041.00,Music Directors and Composers,Music Director dan Komposer,Komposer;Arranger;Dirigen,umum,,Kreatif & Media Digital,4,A,"Conduct, direct, plan, and lead instrumental or vocal performances by musical artists or groups, such as orchestras, bands, choirs, and glee clubs; or create original works of music."
27-3011.00,Broadcast Announcers and Radio Disc Jockeys,Penyiar Radio/TV,Announcer;Radio DJ,umum,,Kreatif & Media Digital,4,A,"Speak or read from scripted materials, such as news reports or commercial messages, on radio, television, or other communications media. May play and queue music, announce artist or title of performance, identify station, or interview guests."
27-3023.00,"News Analysts, Reporters, and Journalists",Wartawan / Jurnalis,Reporter;News Analyst,umum,,Kreatif & Media Digital,4,A,"Narrate or write news stories, reviews, or commentary for print, broadcast, or other communications media such as newspapers, magazines, radio, or television. May collect and analyze information through interview, investigation, or observation."
27-3031.00,Public Relations Specialists,PR Specialist / Humas,Public Relations Officer,umum,,Kreatif & Media Digital,4,E,"Promote or create an intended public image for individuals, groups, or organizations. May write or select material for release to various communications media. May specialize in using social media."
27-3041.00,Editors,Redaktur / Editor,Editor Naskah;Editor Konten,umum,,Kreatif & Media Digital,4,A,"Plan, coordinate, revise, or edit written material. May review proposals and drafts for possible publication."
27-3042.00,Technical Writers,Technical Writer (Penulis Teknis),Penulis Dokumentasi,terbatas,"Berkembang di sektor teknologi/software, tapi jumlah posisi masih relatif kecil dibanding content writer umum.",Kreatif & Media Digital,4,C,"Write technical materials, such as equipment manuals, appendices, or operating and maintenance instructions. May assist in layout work."
27-3043.00,Writers and Authors,Penulis,Writer;Content Writer;Penulis Naskah,umum,,Kreatif & Media Digital,4,A,"Originate and prepare written material, such as scripts, stories, advertisements, and other material."
27-3043.05,"Poets, Lyricists and Creative Writers",Penyair / Pencipta Lirik,Poet;Lyricist;Penulis Lirik,terbatas,"Umumnya berkarier independen/freelance, bukan posisi lowongan formal.",Kreatif & Media Digital,4,A,"Create original written works, such as scripts, essays, prose, poetry or song lyrics, for publication or performance."
27-3091.00,Interpreters and Translators,Penerjemah / Juru Bahasa,Translator;Interpreter,umum,,Kreatif & Media Digital,4,C,"Interpret oral or sign language, or translate written text from one language into another."
27-3092.00,Court Reporters and Simultaneous Captioners,Juru Ketik Notulen Sidang / Captioner,Stenographer;Live Captioner,tidak_relevan,"Sistem pengadilan Indonesia memakai panitera, bukan court reporter stenografi verbatim; live captioning untuk siaran TV ada tapi sangat niche - perlu verifikasi.",Kreatif & Media Digital,3,C,"Use verbatim methods and equipment to capture, store, retrieve, and transcribe pretrial and trial proceedings or other information. Includes stenocaptioners who operate computerized stenographic captioning equipment to provide captions of live or prerecorded broadcasts for hearing-impaired viewers."
27-3099.00,"Media and Communication Workers, All Other",Pekerja Media dan Komunikasi Lainnya,,terbatas,Kategori sisa (catch-all) O*NET; tidak ada padanan spesifik.,Kreatif & Media Digital,,,All media and communication workers not listed separately.
